id,title_fr,title_en,title_es,description_fr,description_en,description_es,category,profession,image,featured,url,note
1,Isla Wedding,Isla Wedding,Isla Wedding,Service de photographie et organisation de mariages,Wedding photography and planning service,Servicio de fotografía y planificación de bodas,service,photographe,/images/portfolio/isla-wedding.jpg,FALSE,https://isla-wedding.mindzy.me/,Site Mindzy - À compléter
2,B2B Consulting,B2B Consulting,B2B Consulting,"Cabinet de conseil en gestion d'entreprise en Guyane française. Accompagnement comptabilité, création d'entreprise, pilotage stratégique, transmission.","Business consulting firm in French Guiana. Accounting support, business creation, strategic management, transmission.","Firma de consultoría empresarial en la Guayana Francesa. Apoyo contable, creación de empresas, gestión estratégica, transmisión.",service,consultant,/images/portfolio/b2b-consulting.jpg,FALSE,https://b2bconsulting.pro/,Karine RANGON - Guyane française
3,Le Revenu,Le Revenu,Le Revenu,"Magazine financier français spécialisé dans le conseil en placements financiers, assurance vie, Bourse, fiscalité, immobilier.","French financial magazine specialized in financial investment advice, life insurance, stock market, taxation, real estate.","Revista financiera francesa especializada en asesoramiento de inversión financiera, seguro de vida, bolsa, fiscalidad, inmobiliario.",media,media,/images/portfolio/le-revenu.jpg,TRUE,https://www.lerevenu.com/,Magazine depuis 1968 - Repris par Overlord en 2025
4,Overlord Fund,Overlord Fund,Overlord Fund,"Plateforme de gestion de véhicules d'investissement. Création et gestion de Holdings, Club deals et Fonds. Gestion juridique fiscale et comptable.","Investment vehicle management platform. Creation and management of Holdings, Club deals and Funds. Legal, tax and accounting management.","Plataforma de gestión de vehículos de inversión. Creación y gestión de Holdings, Club deals y Fondos. Gestión jurídica, fiscal y contable.",service,fond-investissement,/images/portfolio/overlord-fund.jpg,TRUE,https://www.overlord.fund/fr,+250 clients - 400M€ levés
5,Studio Risk,Studio Risk,Studio Risk,"Studio de tatouage et piercing à Paris 20e. Ouvert du mardi au samedi 10h-20h. Artistes spécialisés en micro-réalisme, manga, typographie.","Tattoo and piercing studio in Paris 20th. Open Tuesday to Saturday 10am-8pm. Artists specialized in micro-realism, manga, typography.","Estudio de tatuajes y piercings en París 20. Abierto de martes a sábado 10h-20h. Artistas especializados en micro-realismo, manga, tipografía.",service,tatoueur,/images/portfolio/studio-risk.jpg,TRUE,https://studiorisk.fr/,13 avenue Gambetta - 75020 Paris
6,Equityz,Equityz,Equityz,Club d'investissement pour entrepreneurs antillo-guyanais,Investment club for Antillean-Guyanese entrepreneurs,Club de inversión para empresarios antillano-guyaneses,service,fond-investissement,/images/portfolio/equityz.jpg,FALSE,https://equityz.fr/,Lié à B2B Consulting
7,Ory Avocats,Ory Avocats,Ory Avocats,"Cabinet d'avocats spécialisé en droit pénal, droit pénal des affaires et libertés fondamentales. Fondé par Antoine Ory, ancien Secrétaire de la Conférence.","Law firm specialized in criminal law, business criminal law and fundamental freedoms. Founded by Antoine Ory, former Secretary of the Conference.","Bufete de abogados especializado en derecho penal, derecho penal de empresas y libertades fundamentales. Fundado por Antoine Ory.",service,avocat,/images/portfolio/ory-avocats.jpg,TRUE,https://www.ory-avocats.com/,"156 Rue de Rivoli, 75001 Paris - Avocat depuis 2018"
8,Ligny Avocat,Ligny Avocat,Ligny Avocat,"Cabinet d'avocate spécialisé en droit pénal et contentieux. Maître Victoria Ligny intervient en défense pénale, droit pénal du travail.","Law office specialized in criminal law and litigation. Victoria Ligny intervenes in criminal defense, labor criminal law.","Despacho de abogados especializado en derecho penal y litigios. Victoria Ligny interviene en defensa penal, derecho penal laboral.",service,avocat,/images/portfolio/ligny-avocat.jpg,FALSE,https://www.ligny-avocat.com/,Avocate au Barreau de Paris - Docteure en droit pénal
9,Pharaonique Official,Pharaonique Official,Pharaonique Official,"Marque de vêtements streetwear. Collections de Sweatshirts, T-shirts, Ensembles, Casquettes. Plus de 50 000 clients, livraison rapide mondiale.","Streetwear clothing brand. Collections of Sweatshirts, T-shirts, Sets, Caps. Over 50,000 customers, fast worldwide delivery.","Marca de ropa streetwear. Colecciones de Sudaderas, Camisetas, Conjuntos, Gorras. Más de 50,000 clientes, entrega rápida mundial.",ecom,boutique,/images/portfolio/pharaonique-official.jpg,TRUE,https://pharaoniqueofficial.com/,"Guadeloupe, Martinique, Guyane, Réunion - Marque caribéenne"
10,Ligaphone Paris,Ligaphone Paris,Ligaphone Paris,Boutique e-commerce spécialisée audio et musique à Paris.,Specialized audio and music e-commerce store in Paris.,Tienda de comercio electrónico especializada en audio y música en París.,ecom,boutique,/images/portfolio/ligaphone-paris.jpg,FALSE,https://ligaphone-paris.myshopify.com/fr,Shopify e-commerce
11,French Is Now,French Is Now,French Is Now,Portfolio développeur web et créateur de sites Mindzy.,Web developer portfolio and Mindzy site creator.,Portafolio de desarrollador web y creador de sitios Mindzy.,service,freelance,/images/portfolio/french-is-now.jpg,FALSE,https://www.frenchisnow.com/,Portfolio développeur - Créateur de sites Mindzy
12,Suzerain,Suzerain,Suzerain,Fonds d'investissement et gestion de patrimoine.,Investment fund and wealth management.,Fondo de inversión y gestión de patrimonio.,service,fond-investissement,/images/portfolio/suzerain.jpg,FALSE,https://suzerain.vercel.app/,À rechercher
13,Joplin Designer,Joplin Designer,Joplin Designer,Designer graphique et directeur artistique.,Graphic designer and art director.,Diseñador gráfico y director artístico.,service,designer,/images/portfolio/joplin-designer.jpg,FALSE,https://joplin-designer.mindzy.me/,Site Mindzy - À compléter
14,Byur Surfing,Byur Surfing,Byur Surfing,École de surf et cours de glisse en bord de mer.,Surf school and surfing lessons by the sea.,Escuela de surf y clases de deslizamiento junto al mar.,service,coach-sportif,/images/portfolio/byur-surfing.jpg,FALSE,https://byur-surfing.mindzy.me/,Site Mindzy - À compléter
15,Claire Hypnose,Claire Hypnose,Claire Hypnose,Cabinet d'hypnothérapie. Séances personnalisées pour arrêt du tabac et gestion du stress.,Hypnotherapy practice. Personalized sessions for smoking cessation and stress management.,Consulta de hipnoterapia. Sesiones personalizadas para dejar de fumar y manejo del estrés.,therapist,therapeute,/images/portfolio/claire-hypnose.jpg,FALSE,https://claire-hypnose.mindzy.me/,Site Mindzy
16,Corinne Sophrologue,Corinne Sophrologue,Corinne Sophrologue,Sophrologue et masseuse bien-être. Accompagnement en relaxation et développement personnel.,Sophrologist and wellness masseuse. Support in relaxation and personal development.,Sofróloga y masajista de bienestar. Acompañamiento en relajación y desarrollo personal.,therapist,therapeute,/images/portfolio/corinne-sophrologue.jpg,FALSE,https://corinne-sophrologue.mindzy.me/,Site Mindzy
17,Christine Hypnose,Christine Hypnose,Christine Hypnose,Hypnothérapeute certifiée. Accompagnement en hypnose ericksonienne.,Certified hypnotherapist. Ericksonian hypnosis support.,Hipnoterapeuta certificada. Acompañamiento en hipnosis ericksoniana.,therapist,therapeute,,FALSE,https://christine-hypnose.mindzy.me/,Site Mindzy
18,Bangla Boxing Stadium,Bangla Boxing Stadium,Bangla Boxing Stadium,Salle de boxe thaïlandaise et arts martiaux.,Thai boxing and martial arts gym.,Gimnasio de boxeo tailandés y artes marciales.,service,coach-sportif,/images/portfolio/banglaboxingstadium.jpg,FALSE,http://banglaboxingstadium.com/,À rechercher
19,Tati Uribe,Tati Uribe,Tati Uribe,Formatrice et coach en développement professionnel.,Trainer and professional development coach.,Formadora y coach en desarrollo profesional.,service,coach,/images/portfolio/tati-uribe.jpg,FALSE,https://tatiuribe.mindzy.me/,Site Mindzy
20,Acupuncture Mei,Acupuncture Mei,Acupuntura Mei,Cabinet d'acupuncture traditionnelle chinoise. Soins personnalisés et médecine douce.,Traditional Chinese acupuncture practice. Personalized care and alternative medicine.,Consulta de acupuntura tradicional china. Cuidados personalizados y medicina alternativa.,therapist,therapeute,/images/portfolio/acupuncture-mei.jpg,TRUE,https://acupuncture-mei.mindzy.me/,Site Mindzy
21,Aromathérapeute Hélène,Aromatherapist Hélène,Aromaterapeuta Hélène,Aromathérapeute certifiée. Consultations en aromathérapie et huiles essentielles.,Certified aromatherapist. Aromatherapy and essential oils consultations.,Aromaterapeuta certificada. Consultas de aromaterapia y aceites esenciales.,therapist,therapeute,/images/portfolio/aromatherapie-helene.jpg,FALSE,https://aromatherapeute-helene.mindzy.me/,Site Mindzy
22,Art-Thérapie Camille,Art Therapy Camille,Arte-Terapia Camille,Art-thérapeute spécialisée dans l'accompagnement par la créativité et l'expression artistique.,Art therapist specialized in support through creativity and artistic expression.,Arte-terapeuta especializada en acompañamiento a través de la creatividad y la expresión artística.,therapist,therapeute,/images/portfolio/art-therapie-camille.jpg,FALSE,https://arttherapie-camille.mindzy.me/,Site Mindzy
23,Ayurveda Priya,Ayurveda Priya,Ayurveda Priya,"Praticienne en ayurvéda. Consultations, massages ayurvédiques et programmes de bien-être personnalisés.","Ayurveda practitioner. Consultations, ayurvedic massages and personalized wellness programs.","Practicante de ayurveda. Consultas, masajes ayurvédicos y programas de bienestar personalizados.",therapist,therapeute,/images/portfolio/ayurveda-priya.jpg,FALSE,https://ayurveda-priya.mindzy.me/,Site Mindzy
24,Chiropracteur Thomas,Chiropractor Thomas,Quiropráctico Thomas,Cabinet de chiropraxie. Soins du dos et des articulations par ajustements vertébraux.,Chiropractic office. Back and joint care through spinal adjustments.,Consultorio quiropráctico. Cuidados de espalda y articulaciones mediante ajustes vertebrales.,therapist,therapeute,/images/portfolio/chiropracteur-thomas.jpg,FALSE,https://chiropracteur-thomas.mindzy.me/,Site Mindzy
25,Coach Marchand,Coach Marchand,Coach Marchand,"Coach sportif et préparateur physique. Programmes personnalisés, coaching individuel et collectif.","Sports coach and physical trainer. Personalized programs, individual and group coaching.","Coach deportivo y preparador físico. Programas personalizados, coaching individual y colectivo.",service,coach-sportif,/images/portfolio/coach-marchand.jpg,FALSE,https://coach-marchand.mindzy.me/,Site Mindzy
26,Diététicienne Aurélie,Dietitian Aurélie,Dietista Aurélie,"Diététicienne-nutritionniste diplômée. Consultations personnalisées, rééquilibrage alimentaire et suivi nutritionnel.","Registered dietitian-nutritionist. Personalized consultations, dietary rebalancing and nutritional follow-up.","Dietista-nutricionista diplomada. Consultas personalizadas, reequilibrio alimentario y seguimiento nutricional.",therapist,therapeute,/images/portfolio/dieteticienne-aurelie.jpg,FALSE,https://dieteticienne-aurelie.mindzy.me/,Site Mindzy
27,Énergéticien Bresom,Energy Healer Bresom,Energético Bresom,Praticien en soins énergétiques. Rééquilibrage des chakras et harmonisation énergétique.,Energy healing practitioner. Chakra rebalancing and energetic harmonization.,Practicante de sanación energética. Reequilibrio de chakras y armonización energética.,therapist,therapeute,/images/portfolio/energeticien-bresom.jpg,FALSE,https://energeticien-bresom.mindzy.me/,Site Mindzy
28,Fasciothérapie Gloriès,Fasciatherapy Gloriès,Fascioterapia Gloriès,Fasciothérapeute certifié. Thérapie manuelle des fascias pour soulager douleurs et tensions.,Certified fasciatherapist. Manual fascia therapy for pain and tension relief.,Fascioterapeuta certificado. Terapia manual de las fascias para aliviar dolores y tensiones.,therapist,therapeute,/images/portfolio/fascio-glories.jpg,FALSE,https://fascio-glories.mindzy.me/,Site Mindzy
29,Hypnothérapeute Duverne,Hypnotherapist Duverne,Hipnoterapeuta Duverne,"Hypnothérapeute certifié. Accompagnement en hypnose pour phobies, addictions et confiance en soi.","Certified hypnotherapist. Hypnosis support for phobias, addictions and self-confidence.","Hipnoterapeuta certificado. Acompañamiento en hipnosis para fobias, adicciones y confianza en uno mismo.",therapist,therapeute,/images/portfolio/hypno-duverne.jpg,FALSE,https://hypno-duverne.mindzy.me/,Site Mindzy
30,Hypnose Nathalie,Hypnosis Nathalie,Hipnosis Nathalie,"Praticienne en hypnose thérapeutique. Spécialisée en gestion du stress, sommeil et bien-être.","Therapeutic hypnosis practitioner. Specialized in stress management, sleep and well-being.","Practicante de hipnosis terapéutica. Especializada en gestión del estrés, sueño y bienestar.",therapist,therapeute,/images/portfolio/hypno-nathalie.jpg,FALSE,https://hypno-nathalie.mindzy.me/,Site Mindzy
31,Kinésiologue Sophie,Kinesiologist Sophie,Kinesióloga Sophie,"Kinésiologue certifiée. Rééquilibrage corporel, gestion émotionnelle et accompagnement holistique.","Certified kinesiologist. Body rebalancing, emotional management and holistic support.","Kinesióloga certificada. Reequilibrio corporal, gestión emocional y acompañamiento holístico.",therapist,therapeute,/images/portfolio/kine-sophie.jpg,FALSE,https://kinesiologue-sophie.mindzy.me/,Site Mindzy
32,Lithothérapeute Duval,Lithotherapist Duval,Litoterapeuta Duval,"Lithothérapeute et spécialiste des cristaux. Soins par les pierres, ateliers et formations.","Lithotherapist and crystal specialist. Crystal healing, workshops and training.","Litoterapeuta y especialista en cristales. Sanación con piedras, talleres y formaciones.",therapist,therapeute,/images/portfolio/lithotherapeute-duval.jpg,FALSE,https://lithotherapeute-duval.mindzy.me/,Site Mindzy
33,Magnétiseur Delacroix,Magnetizer Delacroix,Magnetizador Delacroix,Magnétiseur guérisseur. Soins énergétiques par magnétisme pour soulager douleurs et blocages.,Healing magnetizer. Energy healing through magnetism for pain and blockage relief.,Magnetizador sanador. Sanación energética por magnetismo para aliviar dolores y bloqueos.,therapist,therapeute,/images/portfolio/magnetiseur-delacroix.jpg,FALSE,https://magnetiseur-delacroix.mindzy.me/,Site Mindzy
34,Médium Moreau,Medium Moreau,Médium Moreau,"Médium et voyante. Consultations de médiumnité, guidance spirituelle et accompagnement de vie.","Medium and clairvoyant. Mediumship consultations, spiritual guidance and life coaching.","Médium y vidente. Consultas de mediumnidad, guía espiritual y acompañamiento de vida.",therapist,therapeute,/images/portfolio/medium-moreau.jpg,FALSE,https://medium-moreau.mindzy.me/,Site Mindzy
35,Ostéopathe Lefebvre,Osteopath Lefebvre,Osteópata Lefebvre,"Ostéopathe D.O. diplômé. Consultations pour adultes, sportifs et nourrissons. Approche douce et personnalisée.","Licensed osteopath D.O. Consultations for adults, athletes and infants. Gentle and personalized approach.","Osteópata D.O. diplomado. Consultas para adultos, deportistas y bebés. Enfoque suave y personalizado.",therapist,therapeute,/images/portfolio/osteo-lefebvre.jpg,FALSE,https://osteo-lefebvre.mindzy.me/,Site Mindzy
36,Réflexologie Manie,Reflexology Manie,Reflexología Manie,Réflexologue certifiée. Réflexologie plantaire et palmaire pour détente et soulagement des tensions.,Certified reflexologist. Foot and hand reflexology for relaxation and tension relief.,Reflexóloga certificada. Reflexología podal y palmar para relajación y alivio de tensiones.,therapist,therapeute,/images/portfolio/reflexo-manie.jpg,FALSE,https://reflexo-manie.mindzy.me/,Site Mindzy
37,Shiatsu Kenji,Shiatsu Kenji,Shiatsu Kenji,"Praticien en shiatsu traditionnel japonais. Pressions digitales sur les méridiens pour rééquilibrer l'énergie vitale.","Traditional Japanese shiatsu practitioner. Digital pressure on meridians to rebalance vital energy.","Practicante de shiatsu tradicional japonés. Presiones digitales sobre los meridianos para reequilibrar la energía vital.",therapist,therapeute,/images/portfolio/shiatsu-kenji.jpg,FALSE,https://shiatsu-kenji.mindzy.me/,Site Mindzy
38,Sophrologie Rabiovic,Sophrology Rabiovic,Sofrología Rabiovic,"Sophrologue certifiée. Séances de sophrologie pour gestion du stress, préparation mentale et relaxation.","Certified sophrologist. Sophrology sessions for stress management, mental preparation and relaxation.","Sofróloga certificada. Sesiones de sofrología para gestión del estrés, preparación mental y relajación.",therapist,therapeute,/images/portfolio/sophro-rabiovic.jpg,FALSE,https://sophro-rabiovic.mindzy.me/,Site Mindzy
